Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team,nba_player_id,nba_id
2025,2,42,Maxime Raynaud,C,7-1,250.0,22.0,Stanford,Sr,,0,SAC,,1642875.0
2024,1,13,Devin Carter,G,6-2,195.0,22.0,Providence,Jr  *,,1,SAC,,1642269.0
2023,2,54,Jalen Slawson,F,6-7,215.0,23.0,Furman,Sr,,1,SAC,,1641771.0
2022,1,4,Keegan Murray,F,6-8,225.0,21.0,Iowa,So  *,,3,SAC,,1631099.0
2021,1,9,Davion Mitchell,PG,6-0,202.0,22.0,Baylor,Jr  *,,4,SAC,,1630558.0
2021,2,39,Neemias Queta,C,7-0,248.0,22.0,Utah State,Jr  *,,4,SAC,,1629674.0
2020,1,12,Tyrese Haliburton,PG,6-5,185.0,20.0,Iowa State,So  *,,5,SAC,,1630169.0
2020,2,43,Jahmi'us Ramsey,PG,6-3,190.0,19.0,Texas Tech,Fr  *,,3,SAC,,1630186.0
2019,2,40,Justin James,SG,6-7,190.0,22.0,Wyoming,Sr,,3,SAC,,1629713.0
2018,1,2,Marvin Bagley III,PF,6-10,235.0,19.0,Duke,Fr  *,,7,SAC,,1628963.0
2017,1,5,De'Aaron Fox,PG,6-3,185.0,19.0,Kentucky,Fr  *,,8,SAC,,1628368.0
2017,2,34,Frank Mason,G,5-11,190.0,23.0,Kansas,Sr,,4,SAC,,1628412.0
2016,2,59,Isaiah Cousins,G,6-4,191.0,22.0,Oklahoma,Sr,,0,SAC,,
2015,1,6,Willie Cauley-Stein,C,7-0,240.0,21.0,Kentucky,Jr  *,,8,SAC,,1626161.0
2014,1,8,Nik Stauskas,SG,6-6,205.0,20.0,Michigan,So  *,,6,SAC,,203917.0
2013,1,7,Ben McLemore,SG,6-3,195.0,20.0,Kansas,Fr  *,,9,SAC,,203463.0
2013,2,36,Ray McCallum,PG,6-3,191.0,22.0,Detroit-Mercy,Jr  *,,4,SAC,,203492.0
2012,1,5,Thomas Robinson,PF,6-10,235.0,21.0,Kansas,Jr  *,,5,SAC,,203080.0
2011,2,35,Tyler Honeycutt,F,6-8,190.0,20.0,UCLA,So  *,,2,SAC,,202715.0
2011,2,60,Isaiah Thomas,PG,5-9,185.0,22.0,Washington,Jr  *,,12,SAC,,202738.0
2010,1,5,DeMarcus Cousins,C,6-11,270.0,19.0,Kentucky,Fr  *,,12,SAC,,202326.0
2010,2,33,Hassan Whiteside,C,7-0,265.0,21.0,Marshall,Fr  *,,10,SAC,,202355.0
2009,1,4,Tyreke Evans,G,6-6,220.0,19.0,Memphis,Fr  *,,10,SAC,,201936.0
2009,1,23,Omri Casspi,F,6-9,225.0,21.0,Maccabi FOX Tel Aviv (Israel),1988 DOB  *,,10,SAC,,201956.0
2008,1,12,Jason Thompson,PF,6-11,250.0,21.0,Rider,Sr,,8,SAC,,201574.0
2008,2,42,Sean Singletary,PG,6-0,185.0,22.0,Virginia,Sr,,1,SAC,,201606.0
2008,2,43,Pat Ewing,F,6-8,237.0,24.0,Georgetown,Sr,,1,SAC,,
2007,1,10,Spencer Hawes,C,7-1,245.0,19.0,Washington,Fr  *,,10,SAC,,201150.0
2006,1,19,Quincy Douby,G,6-3,175.0,22.0,Rutgers,Jr  *,,4,SAC,,200763.0
2005,1,23,Francisco Garcia,GF,6-7,195.0,23.0,Louisville,Jr  *,,10,SAC,,101128.0
2004,1,26,Kevin Martin,SG,6-7,199.0,21.0,Western Carolina,Jr  *,,12,SAC,,2755.0
2004,2,48,Ricky Minard,G,6-4,200.0,21.0,Morehead State,Sr,,1,SAC,,
2002,2,57,Corsley Edwards,PF,6-9,275.0,23.0,Central Connecticut State,Sr,,2,SAC,,2451.0
2001,1,25,Gerald Wallace,F,6-7,220.0,18.0,Alabama,Fr  *,,14,SAC,,2222.0
2001,2,54,Maurice Jeffers,SG,6-4,200.0,22.0,Saint Louis,Sr,,1,SAC,,
2000,1,16,Hedo Turkoglu,F,6-10,220.0,21.0,Anadolu Efes (Turkey),1979 DOB  *,,15,SAC,,2045.0
2000,2,45,Jabari Smith,C,6-11,250.0,23.0,LSU,Sr,,5,SAC,,2074.0
2000,2,45,Jabari Smith,C,6-11,250.0,23.0,LSU,Sr,,5,SAC,,1631095.0
